Date, t, Acceleration X (g), Acceleration Y (g), Acceleration Z (g), Acceleration Scalar (g), Speed (m/2)
2016-10-06 18:12:14 +0000, 0.000000, -0.015625, 0.003906, 1.000000, 0.000130, 0.970664
2016-10-06 18:12:14 +0000, 0.041208, 0.003906, 0.015625, 1.011719, 0.011847, 0.971152
2016-10-06 18:12:14 +0000, 0.101000, -0.007812, 0.007812, 1.000000, 0.000061, 0.971156
2016-10-06 18:12:14 +0000, 0.131202, -0.007812, 0.015625, 1.003906, 0.004058, 0.971278
2016-10-06 18:12:14 +0000, 0.191171, -0.007812, 0.011719, 1.003906, 0.004005, 0.971518
2016-10-06 18:12:15 +0000, 0.251433, -0.015625, 0.011719, 1.007812, 0.008002, 0.972001
2016-10-06 18:12:15 +0000, 0.281168, -0.023438, 0.007812, 1.007812, 0.008115, 0.972242
2016-10-06 18:12:15 +0000, 0.341261, -0.007812, 0.023438, 1.015625, 0.015925, 0.973199
2016-10-06 18:12:15 +0000, 0.401845, -0.011719, 0.007812, 1.023438, 0.023534, 0.974625
2016-10-06 18:12:15 +0000, 0.431601, -0.011719, 0.011719, 1.015625, 0.015760, 0.975094
2016-10-06 18:12:15 +0000, 0.491742, 0.003906, 0.011719, 1.000000, 0.000076, 0.975098
2016-10-06 18:12:15 +0000, 0.551615, -0.007812, 0.007812, 1.003906, 0.003967, 0.975336
2016-10-06 18:12:15 +0000, 0.581502, -0.007812, 0.007812, 1.011719, 0.011779, 0.975688
2016-10-06 18:12:15 +0000, 0.641575, -0.011719, 0.011719, 1.003906, 0.004043, 0.975931
2016-10-06 18:12:15 +0000, 0.701863, -0.007812, 0.007812, 1.011719, 0.011779, 0.976641
2016-10-06 18:12:15 +0000, 0.733986, -0.011719, 0.015625, 1.011719, 0.011907, 0.977023
2016-10-06 18:12:15 +0000, 0.792018, -0.007812, 0.003906, 1.003906, 0.003944, 0.977252
2016-10-06 18:12:15 +0000, 0.852004, -0.007812, 0.019531, 1.015625, 0.015843, 0.978203
2016-10-06 18:12:15 +0000, 0.881418, 0.000000, 0.011719, 1.000000, 0.000069, 0.978205
2016-10-06 18:12:15 +0000, 0.941420, -0.003906, 0.011719, 1.007812, 0.007888, 0.978678
