Date, t, Pressure (mBar), Pressure Altitude (m), Temperature (°C)
2016-10-06 18:14:12 +0000, 0.000000, 1008.009216, 1.466651, 26.709999
2016-10-06 18:14:12 +0000, 0.059173, 1008.095337, 0.747068, 26.760000
2016-10-06 18:14:12 +0000, 0.088042, 1008.094421, 0.754718, 26.760000
2016-10-06 18:14:12 +0000, 0.150114, 1008.044067, 1.175446, 26.709999
2016-10-06 18:14:12 +0000, 0.208601, 1008.105469, 0.662415, 26.760000
2016-10-06 18:14:12 +0000, 0.238498, 1008.069397, 0.963805, 26.750000
2016-10-06 18:14:12 +0000, 0.300963, 1008.027100, 1.317222, 26.709999
2016-10-06 18:14:12 +0000, 0.368615, 1008.119080, 0.548695, 26.760000
2016-10-06 18:14:12 +0000, 0.392473, 1008.105469, 0.662415, 26.760000
2016-10-06 18:14:12 +0000, 0.453578, 1008.033936, 1.260104, 26.709999
2016-10-06 18:14:12 +0000, 0.511232, 1008.092834, 0.767977, 26.770000
2016-10-06 18:14:12 +0000, 0.543024, 1008.088562, 0.803675, 26.760000
2016-10-06 18:14:12 +0000, 0.601525, 1007.994751, 1.587521, 26.700001
2016-10-06 18:14:13 +0000, 0.662125, 1008.117798, 0.559404, 26.770000
2016-10-06 18:14:13 +0000, 0.693706, 1008.086121, 0.824073, 26.770000
2016-10-06 18:14:13 +0000, 0.754367, 1008.004883, 1.502861, 26.700001
2016-10-06 18:14:13 +0000, 0.812369, 1008.089478, 0.796025, 26.770000
2016-10-06 18:14:13 +0000, 0.844096, 1008.103027, 0.682813, 26.770000
2016-10-06 18:14:13 +0000, 0.902753, 1008.005798, 1.495211, 26.709999
2016-10-06 18:14:13 +0000, 0.965270, 1008.094116, 0.757268, 26.770000
2016-10-06 18:14:13 +0000, 0.995504, 1008.090759, 0.785316, 26.770000
2016-10-06 18:14:13 +0000, 1.054409, 1007.977783, 1.729303, 26.700001
2016-10-06 18:14:13 +0000, 1.113461, 1008.107666, 0.644057, 26.770000
2016-10-06 18:14:13 +0000, 1.145840, 1008.116577, 0.569603, 26.770000
2016-10-06 18:14:13 +0000, 1.203792, 1008.015991, 1.410041, 26.709999
2016-10-06 18:14:13 +0000, 1.269263, 1008.068176, 0.974004, 26.760000
2016-10-06 18:14:13 +0000, 1.296842, 1008.103027, 0.682813, 26.770000
2016-10-06 18:14:13 +0000, 1.355903, 1008.016968, 1.401881, 26.709999
2016-10-06 18:14:13 +0000, 1.414931, 1008.096252, 0.739419, 26.770000
2016-10-06 18:14:13 +0000, 1.447484, 1008.091980, 0.775116, 26.760000
2016-10-06 18:14:13 +0000, 1.505323, 1007.987915, 1.644642, 26.700001
2016-10-06 18:14:13 +0000, 1.570760, 1008.103027, 0.682813, 26.770000
2016-10-06 18:14:13 +0000, 1.598062, 1008.111328, 0.613459, 26.760000
2016-10-06 18:14:14 +0000, 1.657008, 1007.991394, 1.615571, 26.700001
2016-10-06 18:14:14 +0000, 1.717509, 1008.106384, 0.654766, 26.770000
2016-10-06 18:14:14 +0000, 1.743959, 1008.144958, 0.332477, 26.770000
2016-10-06 18:14:14 +0000, 1.806068, 1008.025269, 1.332522, 26.700001
2016-10-06 18:14:14 +0000, 1.863464, 1008.116577, 0.569603, 26.770000
2016-10-06 18:14:14 +0000, 1.895235, 1008.101196, 0.698112, 26.760000
2016-10-06 18:14:14 +0000, 1.953897, 1007.995667, 1.579871, 26.709999
2016-10-06 18:14:14 +0000, 2.017468, 1008.079285, 0.881190, 26.770000
2016-10-06 18:14:14 +0000, 2.044655, 1008.099670, 0.710861, 26.770000
2016-10-06 18:14:14 +0000, 2.104275, 1008.007996, 1.476851, 26.719999
2016-10-06 18:14:14 +0000, 2.164030, 1008.088562, 0.803675, 26.760000
2016-10-06 18:14:14 +0000, 2.195964, 1008.080811, 0.868440, 26.760000
2016-10-06 18:14:14 +0000, 2.289166, 1007.974365, 1.757864, 26.700001
2016-10-06 18:14:14 +0000, 2.320171, 1008.074951, 0.917397, 26.760000
2016-10-06 18:14:14 +0000, 2.345500, 1008.103027, 0.682813, 26.770000
2016-10-06 18:14:14 +0000, 2.404794, 1008.005798, 1.495211, 26.709999
