Date, t, Acceleration X (g), Acceleration Y (g), Acceleration Z (g), Acceleration Scalar (g), Speed (m/2)
2016-09-27 17:36:27 +0000, 0.000000, -0.066406, 0.089844, 1.003906, 0.010104, 14.554877
2016-09-27 17:36:27 +0000, 0.060315, -0.070312, 0.089844, 1.003906, 0.010368, 14.555503
2016-09-27 17:36:27 +0000, 0.090170, -0.085938, 0.089844, 0.980469, -0.011680, 14.555154
2016-09-27 17:36:27 +0000, 0.151324, -0.074219, 0.093750, 0.980469, -0.012267, 14.554404
2016-09-27 17:36:27 +0000, 0.210244, -0.085938, 0.113281, 0.949219, -0.040191, 14.552036
2016-09-27 17:36:27 +0000, 0.240632, -0.089844, 0.113281, 0.964844, -0.024383, 14.551295
2016-09-27 17:36:27 +0000, 0.300501, -0.101562, 0.105469, 0.964844, -0.024110, 14.549851
2016-09-27 17:36:27 +0000, 0.360840, -0.078125, 0.085938, 0.980469, -0.012676, 14.549086
2016-09-27 17:36:27 +0000, 0.390606, -0.082031, 0.085938, 1.000000, 0.007033, 14.549296
2016-09-27 17:36:27 +0000, 0.451806, -0.089844, 0.074219, 0.996094, 0.002887, 14.549472
2016-09-27 17:36:27 +0000, 0.510226, -0.066406, 0.082031, 0.992188, -0.002215, 14.549343
2016-09-27 17:36:27 +0000, 0.540876, -0.082031, 0.082031, 0.996094, 0.002826, 14.549430
2016-09-27 17:36:27 +0000, 0.600212, -0.062500, 0.074219, 0.949219, -0.045835, 14.546710
2016-09-27 17:36:27 +0000, 0.660278, -0.097656, 0.101562, 0.945312, -0.044245, 14.544052
2016-09-27 17:36:27 +0000, 0.690454, -0.101562, 0.101562, 0.910156, -0.078580, 14.541681
2016-09-27 17:36:27 +0000, 0.751097, -0.113281, 0.121094, 0.917969, -0.067175, 14.537607
2016-09-27 17:36:27 +0000, 0.810249, -0.085938, 0.148438, 0.933594, -0.050781, 14.534604
2016-09-27 17:36:27 +0000, 0.840366, -0.097656, 0.148438, 0.894531, -0.087993, 14.531954
2016-09-27 17:36:28 +0000, 0.900292, -0.082031, 0.164062, 0.933594, -0.048557, 14.529044
2016-09-27 17:36:28 +0000, 0.990966, -0.101562, 0.191406, 0.992188, 0.015572, 14.530456
2016-09-27 17:36:28 +0000, 1.008640, -0.117188, 0.191406, 1.093750, 0.116539, 14.532515
2016-09-27 17:36:28 +0000, 1.051032, -0.070312, 0.128906, 1.039062, 0.049386, 14.534609
2016-09-27 17:36:28 +0000, 1.110298, -0.113281, 0.148438, 0.945312, -0.036422, 14.532450
2016-09-27 17:36:28 +0000, 1.140737, -0.105469, 0.167969, 0.851562, -0.125645, 14.528626
2016-09-27 17:36:28 +0000, 1.200333, -0.121094, 0.210938, 1.027344, 0.055743, 14.531948
2016-09-27 17:36:28 +0000, 1.260286, -0.085938, 0.234375, 1.253906, 0.278514, 14.548646
2016-09-27 17:36:28 +0000, 1.290486, 0.218750, 0.050781, 2.054688, 1.066923, 14.580867
2016-09-27 17:36:28 +0000, 1.350948, 0.613281, -0.566406, 2.246094, 1.396219, 14.665285
2016-09-27 17:36:28 +0000, 1.410242, 0.796875, -0.851562, 5.074219, 4.206522, 14.914707
2016-09-27 17:36:28 +0000, 1.440658, -1.574219, -1.753906, 5.648438, 5.120392, 15.070448
