Date, t, Acceleration X (g), Acceleration Y (g), Acceleration Z (g), Acceleration Scalar (g), Speed (m/2)
2016-09-27 17:34:48 +0000, 0.000000, -0.410156, 0.363281, 0.847656, 0.009318, 90.046902
2016-09-27 17:34:48 +0000, 0.058387, -0.375000, 0.355469, 0.816406, -0.033821, 90.044928
2016-09-27 17:34:48 +0000, 0.178819, -0.351562, 0.394531, 0.878906, 0.025538, 90.048003
2016-09-27 17:34:48 +0000, 0.268925, -0.378906, 0.406250, 0.800781, -0.025393, 90.045715
2016-09-27 17:34:48 +0000, 0.359084, -0.480469, 0.324219, 0.906250, 0.075759, 90.052546
2016-09-27 17:34:48 +0000, 0.479118, -0.679688, 0.218750, 1.218750, 0.412508, 90.102061
2016-09-27 17:34:48 +0000, 0.569148, -0.566406, 0.019531, 0.761719, -0.050572, 90.097508
2016-09-27 17:34:48 +0000, 0.659752, -0.402344, 0.230469, 0.585938, -0.252792, 90.074603
2016-09-27 17:34:48 +0000, 0.778751, -0.359375, 0.433594, 0.734375, -0.074548, 90.065732
2016-09-27 17:34:48 +0000, 0.869919, -0.390625, 0.453125, 0.753906, -0.037563, 90.062308
2016-09-27 17:34:49 +0000, 0.958885, -0.390625, 0.359375, 0.773438, -0.061947, 90.056797
2016-09-27 17:34:49 +0000, 1.079776, -0.394531, 0.421875, 0.718750, -0.077918, 90.047377
2016-09-27 17:34:49 +0000, 1.168971, -0.640625, 0.476562, 0.445312, -0.085771, 90.039727
2016-09-27 17:34:49 +0000, 1.260225, -0.355469, 0.140625, -0.007812, -0.617646, 89.983364
2016-09-27 17:34:49 +0000, 1.378834, -0.160156, 0.527344, 0.382812, -0.328966, 89.944346
2016-09-27 17:34:49 +0000, 1.470025, -0.027344, 0.125000, 0.273438, -0.698105, 89.880685
2016-09-27 17:34:49 +0000, 1.558882, -0.183594, 0.167969, 0.902344, -0.063974, 89.875000
2016-09-27 17:34:49 +0000, 1.678881, -0.066406, -0.007812, 1.347656, 0.349314, 89.916918
2016-09-27 17:34:49 +0000, 1.769853, -0.125000, 0.402344, 1.132812, 0.208623, 89.935896
2016-09-27 17:34:49 +0000, 1.858946, 0.070312, 0.273438, 1.093750, 0.129602, 89.947443
2016-09-27 17:34:50 +0000, 1.979979, 0.074219, 0.152344, 1.191406, 0.203398, 89.972061
2016-09-27 17:34:50 +0000, 2.069007, 0.019531, 0.179688, 1.472656, 0.483707, 90.015124
2016-09-27 17:34:50 +0000, 2.159056, -0.167969, 0.359375, 1.062500, 0.134138, 90.027203
2016-09-27 17:34:50 +0000, 2.278916, -0.238281, 0.242188, 1.113281, 0.163971, 90.046857
2016-09-27 17:34:50 +0000, 2.369309, -0.132812, 0.324219, 0.945312, 0.008153, 90.047594
2016-09-27 17:34:50 +0000, 2.459552, -0.093750, 0.164062, 1.023438, 0.040735, 90.051270
2016-09-27 17:34:50 +0000, 2.579988, 0.003906, 0.050781, 1.074219, 0.075426, 90.060354
2016-09-27 17:34:50 +0000, 2.668929, 0.007812, 0.027344, 1.082031, 0.082405, 90.067683
2016-09-27 17:34:50 +0000, 2.760665, 0.050781, -0.023438, 1.125000, 0.126389, 90.079278
2016-09-27 17:34:50 +0000, 2.879377, 0.125000, 0.019531, 1.121094, 0.128210, 90.094498
2016-09-27 17:34:51 +0000, 2.969498, 0.128906, 0.042969, 1.050781, 0.059530, 90.099863
2016-09-27 17:34:51 +0000, 3.058893, 0.039062, -0.117188, 1.203125, 0.209450, 90.118586
2016-09-27 17:34:51 +0000, 3.179277, 0.128906, -0.187500, 1.371094, 0.389846, 90.165517
2016-09-27 17:34:51 +0000, 3.269249, 0.085938, -0.125000, 1.339844, 0.348403, 90.196864
2016-09-27 17:34:51 +0000, 3.358980, 0.468750, -0.132812, 1.265625, 0.356161, 90.228823
2016-09-27 17:34:51 +0000, 3.481235, 0.675781, 0.261719, 1.601562, 0.757891, 90.321479
2016-09-27 17:34:51 +0000, 3.569189, 0.445312, 0.125000, 1.488281, 0.558496, 90.370601
2016-09-27 17:34:51 +0000, 3.661117, 0.285156, -0.429688, 1.417969, 0.508834, 90.417377
2016-09-27 17:34:51 +0000, 3.778895, 0.398438, -0.695312, 1.226562, 0.465151, 90.472161
