Date, t, Acceleration X (g), Acceleration Y (g), Acceleration Z (g), Acceleration Scalar (g), Speed (m/2)
2016-10-06 17:07:27 +0000, 0.000000, 0.070312, -0.023438, 1.011719, 0.014430, 1.567882
2016-10-06 17:07:27 +0000, 0.029860, 0.070312, -0.085938, 0.996094, 0.002263, 1.567950
2016-10-06 17:07:27 +0000, 0.089826, 0.078125, -0.097656, 1.015625, 0.023296, 1.569347
2016-10-06 17:07:27 +0000, 0.149928, 0.089844, -0.066406, 1.042969, 0.048935, 1.572288
2016-10-06 17:07:27 +0000, 0.180273, 0.121094, -0.039062, 1.062500, 0.070091, 1.574415
2016-10-06 17:07:27 +0000, 0.240804, 0.097656, -0.035156, 1.078125, 0.083109, 1.579445
2016-10-06 17:07:27 +0000, 0.300572, 0.089844, -0.007812, 1.082031, 0.085783, 1.584572
2016-10-06 17:07:27 +0000, 0.330770, 0.058594, 0.015625, 1.101562, 0.103230, 1.587690
2016-10-06 17:07:28 +0000, 0.390861, 0.011719, 0.062500, 1.082031, 0.083898, 1.592731
2016-10-06 17:07:28 +0000, 0.450752, -0.015625, 0.089844, 1.070312, 0.074190, 1.597175
2016-10-06 17:07:28 +0000, 0.480088, -0.078125, 0.105469, 1.046875, 0.055071, 1.598790
2016-10-06 17:07:28 +0000, 0.540185, -0.089844, 0.140625, 0.984375, -0.001581, 1.598695
2016-10-06 17:07:28 +0000, 0.602704, -0.085938, 0.085938, 0.968750, -0.023656, 1.597216
2016-10-06 17:07:28 +0000, 0.630554, -0.152344, 0.035156, 0.902344, -0.084211, 1.594871
2016-10-06 17:07:28 +0000, 0.690212, -0.113281, 0.042969, 1.035156, 0.042222, 1.597390
2016-10-06 17:07:28 +0000, 0.750869, -0.226562, -0.007812, 0.968750, -0.005079, 1.597082
2016-10-06 17:07:28 +0000, 0.780461, -0.132812, 0.085938, 1.109375, 0.120597, 1.600651
2016-10-06 17:07:28 +0000, 0.840207, -0.136719, -0.031250, 0.988281, -0.001817, 1.600542
2016-10-06 17:07:28 +0000, 0.900121, -0.109375, -0.066406, 1.058594, 0.066299, 1.604514
2016-10-06 17:07:28 +0000, 0.930654, -0.027344, -0.148438, 0.996094, 0.007464, 1.604742
2016-10-06 17:07:28 +0000, 0.990056, -0.117188, -0.226562, 0.953125, -0.013333, 1.603950
2016-10-06 17:07:28 +0000, 1.050816, -0.062500, -0.132812, 0.957031, -0.031778, 1.602019
2016-10-06 17:07:28 +0000, 1.080306, -0.058594, -0.226562, 0.847656, -0.120634, 1.598462
2016-10-06 17:07:28 +0000, 1.140269, -0.070312, -0.222656, 0.917969, -0.052801, 1.595296
2016-10-06 17:07:28 +0000, 1.202352, -0.101562, -0.179688, 0.878906, -0.097183, 1.589262
2016-10-06 17:07:28 +0000, 1.229935, -0.054688, -0.105469, 1.015625, 0.022550, 1.589884
2016-10-06 17:07:28 +0000, 1.290272, -0.050781, -0.097656, 1.089844, 0.095388, 1.595640
2016-10-06 17:07:28 +0000, 1.350525, -0.089844, -0.097656, 1.066406, 0.074631, 1.600136
2016-10-06 17:07:29 +0000, 1.380110, -0.066406, -0.058594, 1.023438, 0.027262, 1.600943
2016-10-06 17:07:29 +0000, 1.440241, -0.078125, -0.097656, 1.097656, 0.104758, 1.607242
2016-10-06 17:07:29 +0000, 1.502109, -0.105469, -0.093750, 1.132812, 0.141568, 1.616001
2016-10-06 17:07:29 +0000, 1.530155, -0.128906, -0.015625, 1.125000, 0.132469, 1.619716
2016-10-06 17:07:29 +0000, 1.590156, -0.035156, -0.035156, 1.242188, 0.243182, 1.634307
2016-10-06 17:07:29 +0000, 1.650420, -0.054688, 0.105469, 1.195312, 0.201202, 1.646432
